Country,Internet_use,energy_eff,reduce_energy,confident_energy,coal_energy,natural_gas,hydroelectric,nuclear,solar,wind,biomass,worried_expensive,worried_fossil,worried_disaster,worried_insufpower,worried_techfail,climate_change,ccnthum,personal_resp,worried_cc,cc_good_bad,reduce_cc,largeno_limitenergy,govt_reducecc,reduce_ownuse,favour_taxff,favour_subsidiseRE,ban_appliance,gender,age,marriage,highest_education,household_income,care_environment,trust_legalsys,trust_police,trust_pltc,trust_euparl,trust_un,trust_pparties,trust_cntryparl
AT,2,9,4,3,5,4,2,5,1,1,4,4,3,3,2,3,1,4,8,4,2,6,1,3,1,4,2,2,2,68,6,322,2,2,5,9,3,4,5,3,3
AT,5,10,4,7,3,3,3,4,2,3,4,2,2,3,3,3,2,3,6,3,7,5,6,5,6,3,3,3,1,54,4,322,4,3,1,2,1,1,1,1,1
AT,5,10,6,10,5,2,3,3,1,1,3,1,3,1,1,4,1,4,6,4,5,10,10,2,7,3,1,4,2,20,1,322,2,1,7,10,6,9,10,7,7
AT,5,8,2,7,3,2,5,4,3,3,2,2,2,1,1,1,2,2,7,2,4,7,7,7,8,2,1,1,2,22,6,322,3,4,10,10,9,8,10,8,10
AT,4,7,3,8,2,3,3,2,1,1,2,3,2,2,3,2,2,2,7,3,5,7,7,6,7,2,3,2,2,41,4,322,4,2,8,7,4,1,0,4,7
AT,4,7,3,8,2,1,4,3,3,2,4,3,3,4,3,2,3,3,8,2,6,5,5,6,7,2,1,3,1,50,4,322,5,2,8,7,6,5,4,6,2
AT,5,5,3,6,5,5,1,5,1,1,2,1,1,1,1,1,2,4,8,1,8,6,7,6,8,4,2,4,1,28,1,322,5,1,8,10,8,8,8,8,8
AT,5,8,2,7,5,4,1,5,1,3,2,3,2,2,2,2,1,4,6,3,3,7,2,2,5,2,2,2,1,51,4,322,6,2,5,8,4,3,4,3,6
AT,5,8,4,3,4,5,1,5,2,1,1,5,3,1,2,2,1,3,8,4,3,3,4,5,3,5,2,2,2,61,4,322,2,2,7,4,2,2,2,2,2
AT,1,5,2,2,5,5,1,5,1,1,2,1,1,2,1,1,3,2,2,1,2,0,3,1,2,5,5,3,2,999,4,322,8,5,3,7,3,3,3,3,3
AT,4,7,5,7,3,2,5,1,1,2,2,3,3,3,3,2,2,3,7,3,8,5,6,4,6,3,4,1,2,40,6,322,5,2,10,10,8,8,8,10,10
AT,5,10,6,10,4,4,5,5,1,1,1,3,3,1,1,1,1,5,10,3,0,6,4,7,8,2,1,1,2,46,4,322,3,1,4,10,2,4,4,2,2
AT,5,6,5,8,3,3,1,5,1,1,3,3,3,2,2,2,1,3,8,4,3,7,5,7,7,2,1,3,2,24,6,423,4,1,6,7,6,7,7,6,7
AT,1,10,3,5,4,3,2,5,1,1,2,2,3,1,1,1,3,3,2,3,2,7,6,6,5,2,2,2,1,80,5,322,4,2,8,8,6,4,6,6,8
AT,2,10,6,8,5,5,1,5,1,1,1,4,5,5,5,5,1,4,10,5,0,10,1,1,8,5,1,2,2,55,6,322,2,1,4,9,3,0,2,3,3
AT,5,8,4,8,4,4,2,5,2,1,4,2,2,3,3,3,2,4,5,3,2,7,7,7,7,2,1,1,1,18,6,322,9,3,7,8,7,7,6,7,7
AT,1,8,3,6,5,5,1,5,1,1,3,2,1,4,1,1,2,4,6,4,2,7,5,6,6,1,1,1,2,75,5,212,7,1,9,10,9,9,9,9,9
AT,5,8,6,8,5,5,1,5,1,1,2,1,1,3,3,3,2,4,8,4,7,8,6,8,7,2,3,3,2,26,6,322,3,3,8,9,8,8,8,8,7
AT,5,8,4,5,4,4,2,5,2,3,3,2,2,2,2,2,2,3,6,3,4,5,2,4,4,3,3,2,1,61,6,720,6,2,8,9,5,7,7,4,7
AT,5,9,6,7,5,3,1,5,2,2,2,3,3,2,1,2,2,3,6,3,4,7,5,5,5,5,1,2,1,42,4,423,8,2,7,8,4,6,4,4,5
AT,5,8,3,5,5,5,1,5,1,1,1,1,1,3,1,1,3,4,6,1,4,6,5,7,7,3,2,2,2,27,6,322,5,3,9,9,5,6,6,5,7
AT,5,8,6,7,4,2,1,5,1,1,1,4,3,2,2,2,1,4,10,5,0,8,3,4,8,5,1,1,2,62,4,212,1,1,6,8,4,3,0,3,5
AT,4,8,4,6,5,4,1,5,1,1,4,3,2,3,2,3,1,4,7,4,2,7,2,3,7,2,2,2,2,73,4,520,4,1,5,6,0,3,5,0,2
AT,5,6,4,5,1,5,1,5,1,1,1,1,1,1,1,1,2,4,6,3,1,3,4,4,2,3,3,3,1,27,1,322,5,3,8,10,7,7,7,7,8
AT,5,8,3,7,5,5,1,5,1,1,2,2,1,3,1,1,2,3,6,3,3,5,4,5,5,2,2,4,1,23,6,322,2,2,10,10,5,4,4,5,7
AT,5,8,5,2,5,5,1,5,1,1,3,2,3,2,2,2,1,1,0,1,10,0,2,1,0,2,3,4,1,23,6,423,7,2,8,8,5,4,6,5,6
AT,5,7,3,8,5,5,1,5,1,1,1,1,1,1,1,1,2,3,3,1,5,7,5,7,6,3,3,3,2,24,6,322,2,1,8,9,6,6,6,6,7
AT,3,9,4,2,5,3,2,5,1,2,3,3,3,2,1,2,1,4,4,3,6,3,6,2,5,5,2,3,2,77,5,720,4,1,6,8,7,8,8,3,7
AT,5,9,1,1,3,4,1,1,1,1,2,1,1,1,1,1,1,3,2,2,3,5,5,3,4,2,1,1,1,34,6,322,4,3,9,9,8,7,9,7,9
AT,5,7,2,3,3,5,5,3,4,55,5,3,2,4,3,2,2,2,4,4,6,4,7,5,4,2,4,3,2,63,5,322,5,3,8,7,8,9,10,10,10
AT,5,7,4,3,4,4,2,5,1,1,2,4,4,2,2,2,1,4,9,4,3,8,5,4,8,3,1,1,2,25,6,423,7,2,7,10,5,6,6,5,5
AT,5,9,3,8,4,4,2,4,1,1,3,3,3,3,2,2,1,3,5,3,2,5,6,5,5,4,2,1,2,22,2,423,6,4,8,8,4,4,7,3,4
AT,2,10,5,1,1,1,1,1,1,1,1,2,3,2,2,2,1,3,10,4,10,6,6,1,2,5,1,1,2,69,4,322,3,3,8,8,6,3,0,4,8
AT,5,10,4,9,5,2,1,5,1,1,1,2,2,2,2,1,1,3,10,3,2,5,5,4,7,5,1,1,2,48,6,322,9,1,7,8,2,1,1,2,5
AT,1,10,4,7,5,4,2,5,2,2,1,3,4,3,3,3,1,3,8,4,3,5,7,3,5,2,1,1,2,57,4,212,2,2,8,8,3,5,5,3,5
AT,1,9,5,2,2,4,2,5,2,2,1,3,2,3,2,2,1,5,1,5,0,2,2,1,0,3,1,1,1,74,1,322,3,1,9,10,5,5,5,5,8
AT,5,10,3,10,3,4,1,5,1,1,3,2,3,2,2,2,2,4,7,3,1,3,2,7,6,3,2,3,1,19,6,322,8,1,5,5,4,4,3,4,4
